ts,hefei,ningbo,wenzhou,wuhan,wuxi
360,24.54,14.95,24.69,23.41,1.46
365,24.54,14.95,24.69,23.41,1.46
370,24.54,14.95,24.69,23.41,1.46
375,24.54,14.95,24.69,23.41,1.46
380,24.54,14.95,24.69,23.41,1.46
385,24.54,14.95,24.69,23.41,1.46
390,24.54,14.95,24.69,23.41,1.46
395,24.54,14.95,24.69,23.41,1.46
400,24.54,14.95,24.69,23.41,1.46
405,24.54,14.95,24.69,23.41,1.46
410,24.54,14.95,24.69,23.41,1.46
415,24.54,14.95,24.69,23.41,1.46
420,24.54,14.95,24.69,23.41,1.46
425,24.54,14.95,24.69,23.41,1.46
430,24.54,14.95,24.69,23.41,1.46
435,24.54,14.95,24.69,23.41,1.46
440,24.54,14.95,24.69,23.41,1.46
445,24.54,14.95,24.69,23.41,1.46
450,24.54,14.95,24.69,23.41,1.46
455,24.54,14.95,24.69,23.41,1.46
460,24.54,14.95,24.69,23.41,1.46
465,24.54,14.95,24.69,23.41,1.46
470,24.54,14.95,24.69,23.41,1.46
475,24.54,14.95,24.69,23.41,1.46
480,24.54,14.95,24.69,23.41,1.46
485,24.54,14.95,24.69,23.41,1.46
490,24.54,14.95,24.69,23.41,1.46
495,24.54,14.95,24.69,23.41,1.46
500,24.54,14.95,24.69,23.41,1.46
505,24.54,14.95,24.69,23.41,1.46
510,24.54,14.95,24.69,23.41,1.46
515,24.54,14.95,24.69,23.41,1.46
520,24.54,14.95,24.69,23.41,1.46
525,24.54,14.95,24.69,23.41,1.46
530,24.54,14.95,24.69,23.41,1.46
535,24.54,14.95,24.69,23.41,1.46
540,24.54,14.95,24.69,23.41,1.46
545,24.54,14.95,24.69,23.41,1.46
550,24.54,14.95,24.69,23.41,1.46
555,24.54,14.95,24.69,23.41,1.46
560,24.54,14.95,24.69,23.41,1.46
565,24.54,14.95,24.69,23.41,1.46
570,24.54,14.95,24.69,23.41,1.46
575,24.54,14.95,24.69,23.41,1.46
580,24.54,14.95,24.69,23.41,1.46
585,24.54,14.95,24.69,23.41,1.46
590,24.54,14.95,24.69,23.41,1.46
595,24.54,14.95,24.69,23.41,1.46
600,24.9,13.46,22.56,23.39,1.35
605,24.9,13.46,22.56,23.39,1.35
610,24.9,13.46,22.56,23.39,1.35
615,24.9,13.46,22.56,23.39,1.35
620,24.9,13.46,22.56,23.39,1.35
625,24.9,13.46,22.56,23.39,1.35
630,24.9,13.46,22.56,23.39,1.35
635,24.9,13.46,22.56,23.39,1.35
640,24.9,13.46,22.56,23.39,1.35
645,24.9,13.46,22.56,23.39,1.35
650,24.9,13.46,22.56,23.39,1.35
655,24.9,13.46,22.56,23.39,1.35
660,24.9,13.46,22.56,23.39,1.35
665,24.9,13.46,22.56,23.39,1.35
670,24.9,13.46,22.56,23.39,1.35
675,24.9,13.46,22.56,23.39,1.35
680,24.9,13.46,22.56,23.39,1.35
685,24.9,13.46,22.56,23.39,1.35
690,24.9,13.46,22.56,23.39,1.35
695,24.9,13.46,22.56,23.39,1.35
700,24.9,13.46,22.56,23.39,1.35
705,24.9,13.46,22.56,23.39,1.35
710,24.9,13.46,22.56,23.39,1.35
715,24.9,13.46,22.56,23.39,1.35
720,24.9,13.46,22.56,23.39,1.35
725,24.9,13.46,22.56,23.39,1.35
730,24.9,13.46,22.56,23.39,1.35
735,24.9,13.46,22.56,23.39,1.35
740,24.9,13.46,22.56,23.39,1.35
745,24.9,13.46,22.56,23.39,1.35
750,24.9,13.46,22.56,23.39,1.35
755,24.9,13.46,22.56,23.39,1.35
760,24.9,13.46,22.56,23.39,1.35
765,24.9,13.46,22.56,23.39,1.35
770,24.9,13.46,22.56,23.39,1.35
775,24.9,13.46,22.56,23.39,1.35
780,24.9,13.46,22.56,23.39,1.35
785,24.9,13.46,22.56,23.39,1.35
790,24.9,13.46,22.56,23.39,1.35
795,24.9,13.46,22.56,23.39,1.35
800,24.9,13.46,22.56,23.39,1.35
805,24.9,13.46,22.56,23.39,1.35
810,24.9,13.46,22.56,23.39,1.35
815,24.9,13.46,22.56,23.39,1.35
820,24.9,13.46,22.56,23.39,1.35
825,24.9,13.46,22.56,23.39,1.35
830,24.9,13.46,22.56,23.39,1.35
835,24.9,13.46,22.56,23.39,1.35
840,24.9,13.46,22.56,23.39,1.35
845,24.9,13.46,22.56,23.39,1.35
850,24.9,13.46,22.56,23.39,1.35
855,24.9,13.46,22.56,23.39,1.35
860,24.9,13.46,22.56,23.39,1.35
865,24.9,13.46,22.56,23.39,1.35
870,24.9,13.46,22.56,23.39,1.35
875,24.9,13.46,22.56,23.39,1.35
880,24.9,13.46,22.56,23.39,1.35
885,24.9,13.46,22.56,23.39,1.35
890,24.9,13.46,22.56,23.39,1.35
895,24.9,13.46,22.56,23.39,1.35
900,24.9,13.46,22.56,23.39,1.35
905,24.9,13.46,22.56,23.39,1.35
910,24.9,13.46,22.56,23.39,1.35
915,24.9,13.46,22.56,23.39,1.35
920,24.9,13.46,22.56,23.39,1.35
925,24.9,13.46,22.56,23.39,1.35
930,24.9,13.46,22.56,23.39,1.35
935,24.9,13.46,22.56,23.39,1.35
940,24.9,13.46,22.56,23.39,1.35
945,24.9,13.46,22.56,23.39,1.35
950,24.9,13.46,22.56,23.39,1.35
955,24.9,13.46,22.56,23.39,1.35
960,24.9,13.46,22.56,23.39,1.35
965,24.9,13.46,22.56,23.39,1.35
970,24.9,13.46,22.56,23.39,1.35
975,24.9,13.46,22.56,23.39,1.35
980,24.9,13.46,22.56,23.39,1.35
985,24.9,13.46,22.56,23.39,1.35
990,24.9,13.46,22.56,23.39,1.35
995,24.9,13.46,22.56,23.39,1.35
1000,24.9,13.46,22.56,23.39,1.35
1005,24.9,13.46,22.56,23.39,1.35
1010,24.9,13.46,22.56,23.39,1.35
1015,24.9,13.46,22.56,23.39,1.35
1020,24.9,13.46,22.56,23.39,1.35
1025,24.9,13.46,22.56,23.39,1.35
1030,24.9,13.46,22.56,23.39,1.35
1035,24.9,13.46,22.56,23.39,1.35
1040,24.9,13.46,22.56,23.39,1.35
1045,24.9,13.46,22.56,23.39,1.35
1050,24.9,13.46,22.56,23.39,1.35
1055,24.9,13.46,22.56,23.39,1.35
1060,24.9,13.46,22.56,23.39,1.35
1065,24.9,13.46,22.56,23.39,1.35
1070,24.9,13.46,22.56,23.39,1.35
1075,24.9,13.46,22.56,23.39,1.35
1080,24.9,13.46,22.56,23.39,1.35
1085,24.9,13.46,22.56,23.39,1.35
1090,24.9,13.46,22.56,23.39,1.35
1095,24.9,13.46,22.56,23.39,1.35
1100,24.9,13.46,22.56,23.39,1.35
1105,24.9,13.46,22.56,23.39,1.35
1110,24.9,13.46,22.56,23.39,1.35
1115,24.9,13.46,22.56,23.39,1.35
1120,24.9,13.46,22.56,23.39,1.35
1125,24.9,13.46,22.56,23.39,1.35
1130,24.9,13.46,22.56,23.39,1.35
1135,24.9,13.46,22.56,23.39,1.35
1140,24.9,13.46,22.56,23.39,1.35
1145,24.9,13.46,22.56,23.39,1.35
1150,24.9,13.46,22.56,23.39,1.35
1155,24.9,13.46,22.56,23.39,1.35
1160,24.9,13.46,22.56,23.39,1.35
1165,24.9,13.46,22.56,23.39,1.35
1170,24.9,13.46,22.56,23.39,1.35
1175,24.9,13.46,22.56,23.39,1.35
1180,24.9,13.46,22.56,23.39,1.35
1185,24.9,13.46,22.56,23.39,1.35
1190,24.9,13.46,22.56,23.39,1.35
1195,24.9,13.46,22.56,23.39,1.35
1200,25.07,12.64,20.45,22.57,1.27
1205,25.07,12.64,20.45,22.57,1.27
1210,25.07,12.64,20.45,22.57,1.27
1215,25.07,12.64,20.45,22.57,1.27
1220,25.07,12.64,20.45,22.57,1.27
1225,25.07,12.64,20.45,22.57,1.27
1230,25.07,12.64,20.45,22.57,1.27
1235,25.07,12.64,20.45,22.57,1.27
1240,25.07,12.64,20.45,22.57,1.27
1245,25.07,12.64,20.45,22.57,1.27
1250,25.07,12.64,20.45,22.57,1.27
1255,25.07,12.64,20.45,22.57,1.27
1260,25.07,12.64,20.45,22.57,1.27
1265,25.07,12.64,20.45,22.57,1.27
1270,25.07,12.64,20.45,22.57,1.27
1275,25.07,12.64,20.45,22.57,1.27
1280,25.07,12.64,20.45,22.57,1.27
1285,25.07,12.64,20.45,22.57,1.27
1290,25.07,12.64,20.45,22.57,1.27
1295,25.07,12.64,20.45,22.57,1.27
1300,25.07,12.64,20.45,22.57,1.27
1305,25.07,12.64,20.45,22.57,1.27
1310,25.07,12.64,20.45,22.57,1.27
1315,25.07,12.64,20.45,22.57,1.27
1320,25.07,12.64,20.45,22.57,1.27
1325,25.07,12.64,20.45,22.57,1.27
1330,25.07,12.64,20.45,22.57,1.27
1335,25.07,12.64,20.45,22.57,1.27
1340,25.07,12.64,20.45,22.57,1.27
1345,25.07,12.64,20.45,22.57,1.27
1350,25.07,12.64,20.45,22.57,1.27
1355,25.07,12.64,20.45,22.57,1.27
1360,25.07,12.64,20.45,22.57,1.27
1365,25.07,12.64,20.45,22.57,1.27
1370,25.07,12.64,20.45,22.57,1.27
1375,25.07,12.64,20.45,22.57,1.27
1380,25.07,12.64,20.45,22.57,1.27
1385,25.07,12.64,20.45,22.57,1.27
1390,25.07,12.64,20.45,22.57,1.27
1395,25.07,12.64,20.45,22.57,1.27
1400,25.07,12.64,20.45,22.57,1.27
1405,25.07,12.64,20.45,22.57,1.27
1410,25.07,12.64,20.45,22.57,1.27
1415,25.07,12.64,20.45,22.57,1.27
1420,25.07,12.64,20.45,22.57,1.27
1425,25.07,12.64,20.45,22.57,1.27
1430,25.07,12.64,20.45,22.57,1.27
1435,25.07,12.64,20.45,22.57,1.27
1440,25.07,12.64,20.45,22.57,1.27
1445,25.07,12.64,20.45,22.57,1.27
1450,25.07,12.64,20.45,22.57,1.27
1455,25.07,12.64,20.45,22.57,1.27
1460,25.07,12.64,20.45,22.57,1.27
1465,25.07,12.64,20.45,22.57,1.27
1470,25.07,12.64,20.45,22.57,1.27
1475,25.07,12.64,20.45,22.57,1.27
1480,25.07,12.64,20.45,22.57,1.27
1485,25.07,12.64,20.45,22.57,1.27
1490,25.07,12.64,20.45,22.57,1.27
1495,25.07,12.64,20.45,22.57,1.27
1500,25.07,12.64,20.45,22.57,1.27
1505,25.07,12.64,20.45,22.57,1.27
1510,25.07,12.64,20.45,22.57,1.27
1515,25.07,12.64,20.45,22.57,1.27
1520,25.07,12.64,20.45,22.57,1.27
1525,25.07,12.64,20.45,22.57,1.27
1530,25.07,12.64,20.45,22.57,1.27
1535,25.07,12.64,20.45,22.57,1.27
1540,25.07,12.64,20.45,22.57,1.27
1545,25.07,12.64,20.45,22.57,1.27
1550,25.07,12.64,20.45,22.57,1.27
1555,25.07,12.64,20.45,22.57,1.27
1560,25.07,12.64,20.45,22.57,1.27
1565,25.07,12.64,20.45,22.57,1.27
1570,25.07,12.64,20.45,22.57,1.27
1575,25.07,12.64,20.45,22.57,1.27
1580,25.07,12.64,20.45,22.57,1.27
1585,25.07,12.64,20.45,22.57,1.27
1590,25.07,12.64,20.45,22.57,1.27
1595,25.07,12.64,20.45,22.57,1.27
1600,25.07,12.64,20.45,22.57,1.27
1605,25.07,12.64,20.45,22.57,1.27
1610,25.07,12.64,20.45,22.57,1.27
1615,25.07,12.64,20.45,22.57,1.27
1620,25.07,12.64,20.45,22.57,1.27
1625,25.07,12.64,20.45,22.57,1.27
1630,25.07,12.64,20.45,22.57,1.27
1635,25.07,12.64,20.45,22.57,1.27
1640,25.07,12.64,20.45,22.57,1.27
1645,25.07,12.64,20.45,22.57,1.27
1650,25.07,12.64,20.45,22.57,1.27
1655,25.07,12.64,20.45,22.57,1.27
1660,25.07,12.64,20.45,22.57,1.27
1665,25.07,12.64,20.45,22.57,1.27
1670,25.07,12.64,20.45,22.57,1.27
1675,25.07,12.64,20.45,22.57,1.27
1680,25.07,12.64,20.45,22.57,1.27
1685,25.07,12.64,20.45,22.57,1.27
1690,25.07,12.64,20.45,22.57,1.27
1695,25.07,12.64,20.45,22.57,1.27
1700,25.07,12.64,20.45,22.57,1.27
1705,25.07,12.64,20.45,22.57,1.27
1710,25.07,12.64,20.45,22.57,1.27
1715,25.07,12.64,20.45,22.57,1.27
1720,25.07,12.64,20.45,22.57,1.27
1725,25.07,12.64,20.45,22.57,1.27
1730,25.07,12.64,20.45,22.57,1.27
1735,25.07,12.64,20.45,22.57,1.27
1740,25.07,12.64,20.45,22.57,1.27
1745,25.07,12.64,20.45,22.57,1.27
1750,25.07,12.64,20.45,22.57,1.27
1755,25.07,12.64,20.45,22.57,1.27
1760,25.07,12.64,20.45,22.57,1.27
1765,25.07,12.64,20.45,22.57,1.27
1770,25.07,12.64,20.45,22.57,1.27
1775,25.07,12.64,20.45,22.57,1.27
1780,25.07,12.64,20.45,22.57,1.27
1785,25.07,12.64,20.45,22.57,1.27
1790,25.07,12.64,20.45,22.57,1.27
1795,25.07,12.64,20.45,22.57,1.27
1800,25.98,13.78,20.41,23.08,1.16
1805,25.98,13.78,20.41,23.08,1.16
1810,25.98,13.78,20.41,23.08,1.16
1815,25.98,13.78,20.41,23.08,1.16
1820,25.98,13.78,20.41,23.08,1.16
1825,25.98,13.78,20.41,23.08,1.16
1830,25.98,13.78,20.41,23.08,1.16
1835,25.98,13.78,20.41,23.08,1.16
1840,25.98,13.78,20.41,23.08,1.16
1845,25.98,13.78,20.41,23.08,1.16
1850,25.98,13.78,20.41,23.08,1.16
1855,25.98,13.78,20.41,23.08,1.16
1860,25.98,13.78,20.41,23.08,1.16
1865,25.98,13.78,20.41,23.08,1.16
1870,25.98,13.78,20.41,23.08,1.16
1875,25.98,13.78,20.41,23.08,1.16
1880,25.98,13.78,20.41,23.08,1.16
1885,25.98,13.78,20.41,23.08,1.16
1890,25.98,13.78,20.41,23.08,1.16
1895,25.98,13.78,20.41,23.08,1.16
1900,25.98,13.78,20.41,23.08,1.16
1905,25.98,13.78,20.41,23.08,1.16
1910,25.98,13.78,20.41,23.08,1.16
1915,25.98,13.78,20.41,23.08,1.16
1920,25.98,13.78,20.41,23.08,1.16
1925,25.98,13.78,20.41,23.08,1.16
1930,25.98,13.78,20.41,23.08,1.16
1935,25.98,13.78,20.41,23.08,1.16
1940,25.98,13.78,20.41,23.08,1.16
1945,25.98,13.78,20.41,23.08,1.16
1950,25.98,13.78,20.41,23.08,1.16
1955,25.98,13.78,20.41,23.08,1.16
1960,25.98,13.78,20.41,23.08,1.16
1965,25.98,13.78,20.41,23.08,1.16
1970,25.98,13.78,20.41,23.08,1.16
1975,25.98,13.78,20.41,23.08,1.16
1980,25.98,13.78,20.41,23.08,1.16
1985,25.98,13.78,20.41,23.08,1.16
1990,25.98,13.78,20.41,23.08,1.16
1995,25.98,13.78,20.41,23.08,1.16
2000,25.98,13.78,20.41,23.08,1.16
2005,25.98,13.78,20.41,23.08,1.16
2010,25.98,13.78,20.41,23.08,1.16
2015,25.98,13.78,20.41,23.08,1.16
2020,25.98,13.78,20.41,23.08,1.16
2025,25.98,13.78,20.41,23.08,1.16
2030,25.98,13.78,20.41,23.08,1.16
2035,25.98,13.78,20.41,23.08,1.16
2040,25.98,13.78,20.41,23.08,1.16
2045,25.98,13.78,20.41,23.08,1.16
2050,25.98,13.78,20.41,23.08,1.16
2055,25.98,13.78,20.41,23.08,1.16
2060,25.98,13.78,20.41,23.08,1.16
2065,25.98,13.78,20.41,23.08,1.16
2070,25.98,13.78,20.41,23.08,1.16
2075,25.98,13.78,20.41,23.08,1.16
2080,25.98,13.78,20.41,23.08,1.16
2085,25.98,13.78,20.41,23.08,1.16
2090,25.98,13.78,20.41,23.08,1.16
2095,25.98,13.78,20.41,23.08,1.16
2100,25.98,13.78,20.41,23.08,1.16
2105,25.98,13.78,20.41,23.08,1.16
2110,25.98,13.78,20.41,23.08,1.16
2115,25.98,13.78,20.41,23.08,1.16
2120,25.98,13.78,20.41,23.08,1.16
2125,25.98,13.78,20.41,23.08,1.16
2130,25.98,13.78,20.41,23.08,1.16
2135,25.98,13.78,20.41,23.08,1.16
2140,25.98,13.78,20.41,23.08,1.16
2145,25.98,13.78,20.41,23.08,1.16
2150,25.98,13.78,20.41,23.08,1.16
2155,25.98,13.78,20.41,23.08,1.16
2160,25.98,13.78,20.41,23.08,1.16
2165,25.98,13.78,20.41,23.08,1.16
2170,25.98,13.78,20.41,23.08,1.16
2175,25.98,13.78,20.41,23.08,1.16
2180,25.98,13.78,20.41,23.08,1.16
2185,25.98,13.78,20.41,23.08,1.16
2190,25.98,13.78,20.41,23.08,1.16
2195,25.98,13.78,20.41,23.08,1.16
2200,25.98,13.78,20.41,23.08,1.16
2205,25.98,13.78,20.41,23.08,1.16
2210,25.98,13.78,20.41,23.08,1.16
2215,25.98,13.78,20.41,23.08,1.16
2220,25.98,13.78,20.41,23.08,1.16
2225,25.98,13.78,20.41,23.08,1.16
2230,25.98,13.78,20.41,23.08,1.16
2235,25.98,13.78,20.41,23.08,1.16
2240,25.98,13.78,20.41,23.08,1.16
2245,25.98,13.78,20.41,23.08,1.16
2250,25.98,13.78,20.41,23.08,1.16
2255,25.98,13.78,20.41,23.08,1.16
2260,25.98,13.78,20.41,23.08,1.16
2265,25.98,13.78,20.41,23.08,1.16
2270,25.98,13.78,20.41,23.08,1.16
2275,25.98,13.78,20.41,23.08,1.16
2280,25.98,13.78,20.41,23.08,1.16
2285,25.98,13.78,20.41,23.08,1.16
2290,25.98,13.78,20.41,23.08,1.16
2295,25.98,13.78,20.41,23.08,1.16
2300,25.98,13.78,20.41,23.08,1.16
2305,25.98,13.78,20.41,23.08,1.16
2310,25.98,13.78,20.41,23.08,1.16
2315,25.98,13.78,20.41,23.08,1.16
2320,25.98,13.78,20.41,23.08,1.16
2325,25.98,13.78,20.41,23.08,1.16
2330,25.98,13.78,20.41,23.08,1.16
2335,25.98,13.78,20.41,23.08,1.16
2340,25.98,13.78,20.41,23.08,1.16
2345,25.98,13.78,20.41,23.08,1.16
2350,25.98,13.78,20.41,23.08,1.16
2355,25.98,13.78,20.41,23.08,1.16
2360,25.98,13.78,20.41,23.08,1.16
2365,25.98,13.78,20.41,23.08,1.16
2370,25.98,13.78,20.41,23.08,1.16
2375,25.98,13.78,20.41,23.08,1.16
2380,25.98,13.78,20.41,23.08,1.16
2385,25.98,13.78,20.41,23.08,1.16
2390,25.98,13.78,20.41,23.08,1.16
2395,25.98,13.78,20.41,23.08,1.16
2400,24.36,13.08,18.24,23.73,1.05
2405,24.36,13.08,18.24,23.73,1.05
2410,24.36,13.08,18.24,23.73,1.05
2415,24.36,13.08,18.24,23.73,1.05
2420,24.36,13.08,18.24,23.73,1.05
2425,24.36,13.08,18.24,23.73,1.05
2430,24.36,13.08,18.24,23.73,1.05
2435,24.36,13.08,18.24,23.73,1.05
2440,24.36,13.08,18.24,23.73,1.05
2445,24.36,13.08,18.24,23.73,1.05
2450,24.36,13.08,18.24,23.73,1.05
2455,24.36,13.08,18.24,23.73,1.05
2460,24.36,13.08,18.24,23.73,1.05
2465,24.36,13.08,18.24,23.73,1.05
2470,24.36,13.08,18.24,23.73,1.05
2475,24.36,13.08,18.24,23.73,1.05
2480,24.36,13.08,18.24,23.73,1.05
2485,24.36,13.08,18.24,23.73,1.05
2490,24.36,13.08,18.24,23.73,1.05
2495,24.36,13.08,18.24,23.73,1.05
2500,24.36,13.08,18.24,23.73,1.05
2505,24.36,13.08,18.24,23.73,1.05
2510,24.36,13.08,18.24,23.73,1.05
2515,24.36,13.08,18.24,23.73,1.05
2520,24.36,13.08,18.24,23.73,1.05
2525,24.36,13.08,18.24,23.73,1.05
2530,24.36,13.08,18.24,23.73,1.05
2535,24.36,13.08,18.24,23.73,1.05
2540,24.36,13.08,18.24,23.73,1.05
2545,24.36,13.08,18.24,23.73,1.05
2550,24.36,13.08,18.24,23.73,1.05
2555,24.36,13.08,18.24,23.73,1.05
2560,24.36,13.08,18.24,23.73,1.05
2565,24.36,13.08,18.24,23.73,1.05
2570,24.36,13.08,18.24,23.73,1.05
2575,24.36,13.08,18.24,23.73,1.05
2580,24.36,13.08,18.24,23.73,1.05
2585,24.36,13.08,18.24,23.73,1.05
2590,24.36,13.08,18.24,23.73,1.05
2595,24.36,13.08,18.24,23.73,1.05
2600,24.36,13.08,18.24,23.73,1.05
2605,24.36,13.08,18.24,23.73,1.05
2610,24.36,13.08,18.24,23.73,1.05
2615,24.36,13.08,18.24,23.73,1.05
2620,24.36,13.08,18.24,23.73,1.05
2625,24.36,13.08,18.24,23.73,1.05
2630,24.36,13.08,18.24,23.73,1.05
2635,24.36,13.08,18.24,23.73,1.05
2640,24.36,13.08,18.24,23.73,1.05
2645,24.36,13.08,18.24,23.73,1.05
2650,24.36,13.08,18.24,23.73,1.05
2655,24.36,13.08,18.24,23.73,1.05
2660,24.36,13.08,18.24,23.73,1.05
2665,24.36,13.08,18.24,23.73,1.05
2670,24.36,13.08,18.24,23.73,1.05
2675,24.36,13.08,18.24,23.73,1.05
2680,24.36,13.08,18.24,23.73,1.05
2685,24.36,13.08,18.24,23.73,1.05
2690,24.36,13.08,18.24,23.73,1.05
2695,24.36,13.08,18.24,23.73,1.05
2700,24.36,13.08,18.24,23.73,1.05
2705,24.36,13.08,18.24,23.73,1.05
2710,24.36,13.08,18.24,23.73,1.05
2715,24.36,13.08,18.24,23.73,1.05
2720,24.36,13.08,18.24,23.73,1.05
2725,24.36,13.08,18.24,23.73,1.05
2730,24.36,13.08,18.24,23.73,1.05
2735,24.36,13.08,18.24,23.73,1.05
2740,24.36,13.08,18.24,23.73,1.05
2745,24.36,13.08,18.24,23.73,1.05
2750,24.36,13.08,18.24,23.73,1.05
2755,24.36,13.08,18.24,23.73,1.05
2760,24.36,13.08,18.24,23.73,1.05
2765,24.36,13.08,18.24,23.73,1.05
2770,24.36,13.08,18.24,23.73,1.05
2775,24.36,13.08,18.24,23.73,1.05
2780,24.36,13.08,18.24,23.73,1.05
2785,24.36,13.08,18.24,23.73,1.05
2790,24.36,13.08,18.24,23.73,1.05
2795,24.36,13.08,18.24,23.73,1.05
2800,24.36,13.08,18.24,23.73,1.05
2805,24.36,13.08,18.24,23.73,1.05
2810,24.36,13.08,18.24,23.73,1.05
2815,24.36,13.08,18.24,23.73,1.05
2820,24.36,13.08,18.24,23.73,1.05
2825,24.36,13.08,18.24,23.73,1.05
2830,24.36,13.08,18.24,23.73,1.05
2835,24.36,13.08,18.24,23.73,1.05
2840,24.36,13.08,18.24,23.73,1.05
2845,24.36,13.08,18.24,23.73,1.05
2850,24.36,13.08,18.24,23.73,1.05
2855,24.36,13.08,18.24,23.73,1.05
2860,24.36,13.08,18.24,23.73,1.05
2865,24.36,13.08,18.24,23.73,1.05
2870,24.36,13.08,18.24,23.73,1.05
2875,24.36,13.08,18.24,23.73,1.05
2880,24.36,13.08,18.24,23.73,1.05
2885,24.36,13.08,18.24,23.73,1.05
2890,24.36,13.08,18.24,23.73,1.05
2895,24.36,13.08,18.24,23.73,1.05
2900,24.36,13.08,18.24,23.73,1.05
2905,24.36,13.08,18.24,23.73,1.05
2910,24.36,13.08,18.24,23.73,1.05
2915,24.36,13.08,18.24,23.73,1.05
2920,24.36,13.08,18.24,23.73,1.05
2925,24.36,13.08,18.24,23.73,1.05
2930,24.36,13.08,18.24,23.73,1.05
2935,24.36,13.08,18.24,23.73,1.05
2940,24.36,13.08,18.24,23.73,1.05
2945,24.36,13.08,18.24,23.73,1.05
2950,24.36,13.08,18.24,23.73,1.05
2955,24.36,13.08,18.24,23.73,1.05
2960,24.36,13.08,18.24,23.73,1.05
2965,24.36,13.08,18.24,23.73,1.05
2970,24.36,13.08,18.24,23.73,1.05
2975,24.36,13.08,18.24,23.73,1.05
2980,24.36,13.08,18.24,23.73,1.05
2985,24.36,13.08,18.24,23.73,1.05
2990,24.36,13.08,18.24,23.73,1.05
2995,24.36,13.08,18.24,23.73,1.05
3000,23.15,11.79,16.49,23.28,0.94
3005,23.15,11.79,16.49,23.28,0.94
3010,23.15,11.79,16.49,23.28,0.94
3015,23.15,11.79,16.49,23.28,0.94
3020,23.15,11.79,16.49,23.28,0.94
3025,23.15,11.79,16.49,23.28,0.94
3030,23.15,11.79,16.49,23.28,0.94
3035,23.15,11.79,16.49,23.28,0.94
3040,23.15,11.79,16.49,23.28,0.94
3045,23.15,11.79,16.49,23.28,0.94
3050,23.15,11.79,16.49,23.28,0.94
3055,23.15,11.79,16.49,23.28,0.94
3060,23.15,11.79,16.49,23.28,0.94
3065,23.15,11.79,16.49,23.28,0.94
3070,23.15,11.79,16.49,23.28,0.94
3075,23.15,11.79,16.49,23.28,0.94
3080,23.15,11.79,16.49,23.28,0.94
3085,23.15,11.79,16.49,23.28,0.94
3090,23.15,11.79,16.49,23.28,0.94
3095,23.15,11.79,16.49,23.28,0.94
3100,23.15,11.79,16.49,23.28,0.94
3105,23.15,11.79,16.49,23.28,0.94
3110,23.15,11.79,16.49,23.28,0.94
3115,23.15,11.79,16.49,23.28,0.94
